room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
16399839,11297475,Entire home/apt,,Mitte,0,0.0,10,4.0,321.0,,52.552499,13.378958,2016-12-17 01:47:08.890338
16405205,5361990,Entire home/apt,,Mitte,0,0.0,8,5.0,227.0,,52.528942,13.405701,2016-12-17 01:45:07.991576
16405112,5361990,Entire home/apt,,Mitte,0,0.0,8,5.0,227.0,,52.527812,13.404596,2016-12-17 01:45:07.972039
7334840,3878396,Entire home/apt,,Mitte,25,5.0,4,2.0,162.0,,52.528091,13.394404,2016-12-17 01:29:28.731144
16405504,31833654,Entire home/apt,,Friedrichshain-Kreuzberg,0,0.0,5,2.0,140.0,,52.489213,13.388006,2016-12-17 01:13:52.248624
8530373,27256532,Entire home/apt,,Friedrichshain-Kreuzberg,0,0.0,4,1.0,130.0,,52.493,13.416687,2016-12-17 01:13:15.144614
7889458,18718315,Entire home/apt,,Friedrichshain-Kreuzberg,30,5.0,3,1.0,117.0,,52.501461,13.41633,2016-12-17 00:21:30.692777
8158746,24517427,Entire home/apt,,Pankow,5,4.5,3,1.0,112.0,,52.551957,13.415908,2016-12-17 00:18:44.495956
10958382,56838230,Entire home/apt,,Mitte,24,5.0,4,1.0,110.0,,52.536586,13.379532,2016-12-17 00:17:53.286103
7113951,7648058,Entire home/apt,,Friedrichshain-Kreuzberg,24,4.5,3,1.0,87.0,,52.518573,13.426125,2016-12-16 23:14:18.381427
7634879,312373,Entire home/apt,,Pankow,0,0.0,6,2.0,96.0,,52.550267,13.405251,2016-12-16 23:11:43.051143
697684,3574758,Entire home/apt,,Charlottenburg-Wilmersdorf,7,4.5,4,1.0,92.0,,52.494884,13.306271,2016-12-16 23:08:20.443506
16404259,353789,Entire home/apt,,Neukölln,0,0.0,5,3.0,87.0,,52.487779,13.40956,2016-12-16 22:56:16.098746
3863511,19941898,Entire home/apt,,Neukölln,28,4.5,4,2.0,97.0,,52.492485,13.427019,2016-12-16 22:55:18.113614
497537,2435470,Entire home/apt,,Friedrichshain-Kreuzberg,133,4.5,4,2.0,95.0,,52.515606,13.457128,2016-12-16 22:50:37.041290
