room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
5967825,1219,4043276,Shared room,,Berlin,,Pankow,10,5.0,3,1.0,,90.0,,Amazing Art Flat near Kulturbruerei,2017-05-12 16:32:01.739228,52.536309,13.410931,0101000020E61000003DD34B8C65D22A4076C6F7C5A5444A40
8200797,1219,35214802,Shared room,,Berlin,,Friedrichshain-Kreuzberg,0,0.0,2,1.0,,90.0,,guestbed in the heart of XBERG,2017-05-12 16:32:01.736708,52.50268,13.419334,0101000020E6100000A43330F2B2D62A40382D78D157404A40
12692805,1219,2695048,Shared room,,Berlin,,Friedrichshain-Kreuzberg,18,5.0,3,1.0,,84.0,,"Shared room, Berlin Friedrichshain",2017-05-12 16:32:01.731669,52.517314,13.46849,0101000020E61000008E01D9EBDDEF2A40A8E15B5837424A40
7560330,1219,39631459,Shared room,,Berlin,,Pankow,4,5.0,4,1.0,,90.0,,Rooms in very beautiful apartment in Berlin,2017-05-12 16:32:01.729299,52.541389,13.42094,0101000020E61000000F289B7285D72A4003B5183C4C454A40
16227384,1219,2810949,Shared room,,Berlin,,Pankow,5,5.0,2,1.0,,89.0,,spacious and quiet in vibrant area,2017-05-12 16:32:01.724021,52.543703,13.41255,0101000020E6100000FAEDEBC039D32A4059DE550F98454A40
14298799,1219,83790915,Shared room,,Berlin,,Friedrichshain-Kreuzberg,1,0.0,5,1.0,,73.0,,Big family flat in Kreuzberg,2017-05-12 16:32:00.136766,52.491829,13.402875,0101000020E610000083C0CAA145CE2A40B91CAF40F43E4A40
13445044,1219,26154379,Shared room,,Berlin,,Tempelhof-Schöneberg,0,0.0,2,1.0,,67.0,,Great Place in the Heart of Berlin,2017-05-12 16:32:00.133829,52.487907,13.369083,0101000020E6100000E6046D72F8BC2A40A73E90BC733E4A40
18070547,1219,57393126,Shared room,,Berlin,,Neukölln,0,0.0,2,1.0,,62.0,,geräumiges Zimmer auch für Päarchen,2017-05-12 16:32:00.131591,52.48277,13.43176,0101000020E610000022718FA50FDD2A40B6BE4868CB3D4A40
551644,1219,2711079,Shared room,,Berlin,,Friedrichshain-Kreuzberg,15,5.0,4,1.0,,77.0,,"Charming, sunny, clean central flat",2017-05-12 16:32:00.129356,52.491934,13.410419,0101000020E610000065506D7022D22A402EE57CB1F73E4A40
6427854,1219,33263166,Shared room,,Berlin,,Friedrichshain-Kreuzberg,10,5.0,2,1.0,,69.0,,Charming bright apartment,2017-05-12 16:32:00.126369,52.51539,13.454919,0101000020E610000076A8A624EBE82A40BC57AD4CF8414A40
16610057,1219,99254090,Shared room,,Berlin,,Pankow,0,0.0,2,1.0,,73.0,,Gemütliche 1-Zimmerwohnung,2017-05-12 16:32:00.123941,52.534989,13.425347,0101000020E610000047E7FC14C7D92A40215C01857A444A40
7935870,1219,41848444,Shared room,,Berlin,,Mitte,0,0.0,3,1.0,,66.0,,Moabiter Schlummermutter,2017-05-12 16:32:00.120249,52.524177,13.333871,0101000020E6100000672AC423F1AA2A405F28603B18434A40
7466821,1219,39102959,Shared room,,Berlin,,Pankow,0,0.0,1,1.0,,78.0,,shared room,2017-05-12 16:32:00.117193,52.553217,13.441264,0101000020E6100000E6CDE15AEDE12A40AD4B8DD0CF464A40
5246999,1219,7201404,Shared room,,Berlin,,Friedrichshain-Kreuzberg,32,5.0,2,1.0,,66.0,,"Central Kreuzberg, sunny, balcony",2017-05-12 16:32:00.113290,52.485371,13.406678,0101000020E610000060014C1938D02A40A2B60DA3203E4A40
8135806,1219,21857190,Shared room,,Berlin,,Charlottenburg-Wilmersdorf,0,0.0,1,1.0,,67.0,,Hotel Pension Messe Estimated 1 bed,2017-05-12 16:32:00.109566,52.506546,13.29183,0101000020E6100000BDFBE3BD6A952A40B6F5D37FD6404A40
4718249,1219,7908994,Shared room,,Berlin,,Mitte,0,0.0,3,1.0,,67.0,,Cozy central apartment,2017-05-12 16:32:00.098190,52.53572,13.396983,0101000020E6100000CD22145B41CB2A4014E8137992444A40
10450486,1219,4049705,Shared room,,Berlin,,Charlottenburg-Wilmersdorf,18,5.0,2,1.0,,44.0,,Dbl Bed in West Berlin + City Tour,2017-05-12 16:31:47.863928,52.512189,13.264407,0101000020E6100000BDAAB35A60872A407B2FBE688F414A40
11943223,1219,19997764,Shared room,,Berlin,,Neukölln,7,5.0,2,1.0,,42.0,,"in central, attractive location",2017-05-12 16:31:47.861456,52.480889,13.423173,0101000020E6100000B519A721AAD82A40C90050C58D3D4A40
11974296,1219,44989714,Shared room,,Berlin,,Neukölln,4,3.0,2,1.0,,43.0,,SPACIOUS FLAT IN OUTGOING CENTRE,2017-05-12 16:31:47.859026,52.479268,13.445772,0101000020E6100000EDF1423A3CE42A40790261A7583D4A40
6508509,1219,34026126,Shared room,,Berlin,,Mitte,12,4.5,2,1.0,,56.0,,Beautiful attic apartment,2017-05-12 16:31:47.850563,52.516661,13.337907,0101000020E6100000CF2D742502AD2A40300F99F221424A40
16474145,1219,64941772,Shared room,,Berlin,,Mitte,2,0.0,2,1.0,,44.0,,Schönes Zimmer im Herzen Neuköllns,2017-05-12 16:31:47.846960,52.51955,13.406054,0101000020E6100000E9D1544FE6CF2A408351499D80424A40
13384672,1219,76089328,Shared room,,Berlin,,Pankow,1,0.0,1,1.0,,44.0,,"25 m2 Zimmer, Küche, Bad, Flur.",2017-05-12 16:31:46.665069,52.564832,13.469921,0101000020E610000040683D7C99F02A40FDDD3B6A4C484A40
3428732,1219,17281262,Shared room,,Berlin,,Lichtenberg,2,0.0,1,1.0,,56.0,,Schlafen unter und zwischen Kunst,2017-05-12 16:31:46.662619,52.486913,13.526084,0101000020E6100000D2E5CDE15A0D2B40A67F492A533E4A40
17863597,1219,31217613,Shared room,,Berlin,,Mitte,0,0.0,1,1.0,,44.0,,Queen Size Sofa in zentraler Lage im Moabiter Kiez,2017-05-12 16:31:46.660222,52.531386,13.328011,0101000020E6100000DE74CB0EF1A72A40B0C6D97404444A40
14753861,1219,14131527,Shared room,,Berlin,,Mitte,13,5.0,3,1.0,,44.0,,Cozy living room in the middle of Berlin,2017-05-12 16:31:46.658123,52.509845,13.389832,0101000020E610000059DE550F98C72A40BA83D89942414A40
12188165,1219,49979605,Shared room,,Berlin,,Lichtenberg,2,0.0,1,1.0,,55.0,,in 20 Minuten am Alex,2017-05-12 16:31:46.655373,52.539349,13.500719,0101000020E6100000BEF8A23D5E002B40AE10566309454A40
18408411,1219,20052073,Shared room,,Berlin,,Pankow,1,0.0,2,1.0,,46.0,,"Cosy, nice room in Prenzlauer Berg",2017-05-12 16:31:46.653024,52.544137,13.415273,0101000020E6100000D8D2A3A99ED42A4093C5FD47A6454A40
